method,subset_size,subset_indices,AV,CC,PAIRS,CONS,alpha_AV_global,alpha_CC_global,alpha_PAIRS_global,alpha_CONS_global,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
MES,1,[0],31,31,465,465,0.15346534653465346,0.5535714285714286,0.41480820695807313,0.30194805194805197,1.0,1.0,1.0,1.0
AV,1,[0],31,31,465,465,0.15346534653465346,0.5535714285714286,0.41480820695807313,0.30194805194805197,1.0,1.0,1.0,1.0
CC,1,[0],31,31,465,465,0.15346534653465346,0.5535714285714286,0.41480820695807313,0.30194805194805197,1.0,1.0,1.0,1.0
PAV,1,[0],31,31,465,465,0.15346534653465346,0.5535714285714286,0.41480820695807313,0.30194805194805197,1.0,1.0,1.0,1.0
MES,2,"[0, 1]",57,42,685,861,0.28217821782178215,0.75,0.6110615521855486,0.5590909090909091,1.0,1.0,1.0,1.0
AV,2,"[0, 2]",57,41,670,820,0.28217821782178215,0.7321428571428571,0.5976806422836753,0.5324675324675324,1.0,0.9761904761904762,0.9781021897810219,0.9523809523809523
CC,2,"[0, 1]",57,42,685,861,0.28217821782178215,0.75,0.6110615521855486,0.5590909090909091,1.0,1.0,1.0,1.0
PAV,2,"[0, 1]",57,42,685,861,0.28217821782178215,0.75,0.6110615521855486,0.5590909090909091,1.0,1.0,1.0,1.0
MES,3,"[0, 1, 2]",83,47,840,1081,0.41089108910891087,0.8392857142857143,0.7493309545049064,0.701948051948052,1.0,0.9791666666666666,1.0,0.9583333333333334
AV,3,"[0, 1, 2]",83,47,840,1081,0.41089108910891087,0.8392857142857143,0.7493309545049064,0.701948051948052,1.0,0.9791666666666666,1.0,0.9583333333333334
CC,3,"[0, 1, 3]",76,48,793,1128,0.37623762376237624,0.8571428571428571,0.7074041034790366,0.7324675324675325,0.9156626506024096,1.0,0.944047619047619,1.0
PAV,3,"[0, 1, 2]",83,47,840,1081,0.41089108910891087,0.8392857142857143,0.7493309545049064,0.701948051948052,1.0,0.9791666666666666,1.0,0.9583333333333334
MES,4,"[0, 1, 2, 4]",104,51,924,1275,0.5148514851485149,0.9107142857142857,0.8242640499553969,0.827922077922078,1.0,1.0,0.9861259338313767,1.0
AV,4,"[0, 1, 2, 6]",104,51,929,1275,0.5148514851485149,0.9107142857142857,0.8287243532560215,0.827922077922078,1.0,1.0,0.991462113127001,1.0
CC,4,"[0, 1, 2, 3]",102,51,937,1275,0.504950495049505,0.9107142857142857,0.8358608385370205,0.827922077922078,0.9807692307692307,1.0,1.0,1.0
PAV,4,"[0, 1, 2, 3]",102,51,937,1275,0.504950495049505,0.9107142857142857,0.8358608385370205,0.827922077922078,0.9807692307692307,1.0,1.0,1.0
MES,5,"[0, 1, 2, 4, 6]",125,53,995,1378,0.6188118811881188,0.9464285714285714,0.8876003568242641,0.8948051948051948,1.0,1.0,0.989065606361829,1.0
AV,5,"[0, 1, 2, 4, 6]",125,53,995,1378,0.6188118811881188,0.9464285714285714,0.8876003568242641,0.8948051948051948,1.0,1.0,0.989065606361829,1.0
CC,5,"[0, 1, 2, 3, 4]",123,53,1006,1378,0.6089108910891089,0.9464285714285714,0.8974130240856378,0.8948051948051948,0.984,1.0,1.0,1.0
PAV,5,"[0, 1, 2, 3, 4]",123,53,1006,1378,0.6089108910891089,0.9464285714285714,0.8974130240856378,0.8948051948051948,0.984,1.0,1.0,1.0
MES,6,"[0, 1, 2, 3, 4, 6]",144,54,1052,1431,0.7128712871287128,0.9642857142857143,0.9384478144513827,0.9292207792207792,1.0,1.0,1.0,1.0
AV,6,"[0, 1, 2, 3, 4, 6]",144,54,1052,1431,0.7128712871287128,0.9642857142857143,0.9384478144513827,0.9292207792207792,1.0,1.0,1.0,1.0
CC,6,"[0, 1, 2, 3, 4, 6]",144,54,1052,1431,0.7128712871287128,0.9642857142857143,0.9384478144513827,0.9292207792207792,1.0,1.0,1.0,1.0
PAV,6,"[0, 1, 2, 3, 4, 6]",144,54,1052,1431,0.7128712871287128,0.9642857142857143,0.9384478144513827,0.9292207792207792,1.0,1.0,1.0,1.0
MES,7,"[0, 1, 2, 4, 3, 6, 7]",162,55,1074,1485,0.801980198019802,0.9821428571428571,0.9580731489741302,0.9642857142857143,1.0,1.0,0.9916897506925207,1.0
AV,7,"[0, 1, 2, 3, 4, 6, 7]",162,55,1074,1485,0.801980198019802,0.9821428571428571,0.9580731489741302,0.9642857142857143,1.0,1.0,0.9916897506925207,1.0
CC,7,"[0, 1, 2, 3, 4, 6, 7]",162,55,1074,1485,0.801980198019802,0.9821428571428571,0.9580731489741302,0.9642857142857143,1.0,1.0,0.9916897506925207,1.0
PAV,7,"[0, 1, 2, 3, 4, 6, 7]",162,55,1074,1485,0.801980198019802,0.9821428571428571,0.9580731489741302,0.9642857142857143,1.0,1.0,0.9916897506925207,1.0
MES,8,"[0, 1, 2, 4, 3, 6, 7, 9]",177,56,1105,1540,0.8762376237623762,1.0,0.9857270294380018,1.0,1.0,1.0,1.0,1.0
AV,8,"[0, 1, 2, 3, 4, 6, 7, 9]",177,56,1105,1540,0.8762376237623762,1.0,0.9857270294380018,1.0,1.0,1.0,1.0,1.0
CC,8,"[0, 1, 2, 3, 4, 6, 7, 9]",177,56,1105,1540,0.8762376237623762,1.0,0.9857270294380018,1.0,1.0,1.0,1.0,1.0
PAV,8,"[0, 1, 2, 3, 4, 6, 7, 9]",177,56,1105,1540,0.8762376237623762,1.0,0.9857270294380018,1.0,1.0,1.0,1.0,1.0
MES,9,"[0, 1, 2, 4, 6, 3, 7, 9, 8]",191,56,1118,1540,0.9455445544554455,1.0,0.9973238180196253,1.0,1.0,1.0,1.0,1.0
AV,9,"[0, 1, 2, 3, 4, 6, 7, 8, 9]",191,56,1118,1540,0.9455445544554455,1.0,0.9973238180196253,1.0,1.0,1.0,1.0,1.0
CC,9,"[0, 1, 2, 3, 4, 5, 6, 7, 9]",188,56,1109,1540,0.9306930693069307,1.0,0.9892952720785013,1.0,0.9842931937172775,1.0,0.9919499105545617,1.0
PAV,9,"[0, 1, 2, 3, 4, 6, 7, 8, 9]",191,56,1118,1540,0.9455445544554455,1.0,0.9973238180196253,1.0,1.0,1.0,1.0,1.0
MES,10,"[0, 1, 2, 4, 6, 3, 7, 9, 8, 5]",202,56,1121,1540,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AV,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",202,56,1121,1540,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CC,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",202,56,1121,1540,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PAV,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",202,56,1121,1540,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
